,Models,MAPE,MSE,RMSE,R_Square
0,Linear Regression,0.4768456254932199,68628.00434300092,261.9694721584958,0.31655125061262024
1,KNN,0.5673270209481214,72849.6151829861,269.9066786557645,0.31386974900441167
2,Decision Trees,0.6663341920951045,87985.11223538156,296.6228451002747,0.17131686982422822
3,Random Forest,0.551287168089666,63029.393099057015,251.05655358714898,0.4063609917701294
4,Gradient Boost,0.5566428770860086,69391.15188241187,263.4220034135567,0.3464431028446696
5,Support Vector,0.4863313159092339,75194.84509620111,274.2167848549777,0.2917813249962038
